service_id,date,exception_type
"4317_473743","20230503","1"
"4317_473743","20230504","1"
"4317_473743","20230505","1"
"4317_473743","20230508","1"
"4317_473743","20230509","1"
"4317_473743","20230510","1"
"4317_473743","20230511","1"
"4317_473743","20230512","1"
"4317_473743","20230515","1"
"4317_473743","20230516","1"
"4317_473743","20230517","1"
"4317_473743","20230518","1"
"4317_473743","20230519","1"
"4317_473743","20230522","1"
"4317_473743","20230523","1"
"4317_473743","20230524","1"
"4317_473743","20230525","1"
"4317_473743","20230526","1"
"4317_473743","20230529","1"
"4317_473743","20230530","1"
"4317_473743","20230531","1"
"4317_473743","20230601","1"
"4317_473743","20230605","1"
"4317_473743","20230606","1"
"4317_473743","20230607","1"
"4317_473743","20230608","1"
"4317_473743","20230609","1"
"4317_473743","20230612","1"
"4317_473743","20230613","1"
"4317_473743","20230614","1"
"4317_473743","20230615","1"
"4317_473743","20230616","1"
"4317_473743","20230619","1"
"4317_473743","20230620","1"
"4317_473743","20230621","1"
"4317_473743","20230622","1"
"4317_473743","20230623","1"
"4317_473743","20230626","1"
"4317_473743","20230627","1"
"4317_473743","20230628","1"
"4317_473743","20230629","1"
"4317_473743","20230630","1"
"4317_473743","20230703","1"
"4317_473743","20230704","1"
"4317_473743","20230705","1"
"4317_473743","20230706","1"
"4317_473743","20230707","1"
"4317_473743","20230710","1"
"4317_473743","20230711","1"
"4317_473743","20230712","1"
"4317_473743","20230713","1"
"4317_473743","20230714","1"
"4317_473743","20230717","1"
"4317_473743","20230718","1"
"4317_473743","20230719","1"
"4317_473743","20230720","1"
"4317_473743","20230721","1"
"4317_473743","20230724","1"
"4317_473743","20230725","1"
"4317_473743","20230726","1"
"4317_473743","20230727","1"
"4317_473743","20230728","1"
"4317_473743","20230731","1"
"4317_473743","20230801","1"
"4317_473743","20230802","1"
"4317_473743","20230803","1"
"4317_473743","20230804","1"
"4317_473743","20230807","1"
"4317_473743","20230808","1"
"4317_473743","20230809","1"
"4317_473743","20230810","1"
"4317_473743","20230811","1"
"4317_473743","20230814","1"
"4317_473743","20230816","1"
"4317_473743","20230817","1"
"4317_473743","20230818","1"
"4317_473743","20230821","1"
"4317_473743","20230822","1"
"4317_473743","20230823","1"
"4317_473743","20230824","1"
"4317_473743","20230825","1"
"4317_473743","20230828","1"
"4317_473743","20230829","1"
"4317_473743","20230830","1"
"4317_473743","20230831","1"
"4317_473743","20230901","1"
"4317_473743","20230904","1"
"4317_473743","20230905","1"
"4317_473743","20230906","1"
"4317_473743","20230907","1"
"4317_473743","20230908","1"
"4317_473743","20230911","1"
"4317_473743","20230912","1"
"4317_473743","20230913","1"
"4317_473743","20230914","1"
"4317_473743","20230915","1"
"4317_473743","20230918","1"
"4317_473743","20230919","1"
"4317_473743","20230920","1"
"4317_473743","20230921","1"
"4317_473743","20230922","1"
"4317_473743","20230925","1"
"4317_473743","20230926","1"
"4317_473743","20230927","1"
"4317_473743","20230928","1"
"4317_473743","20230929","1"
"4317_473743","20231002","1"
"4317_473743","20231003","1"
"4317_473743","20231004","1"
"4317_473743","20231005","1"
"4317_473743","20231006","1"
"4317_473743","20231009","1"
"4317_473743","20231010","1"
"4317_473743","20231011","1"
"4317_473743","20231012","1"
"4317_473743","20231013","1"
"4317_473743","20231016","1"
"4317_473743","20231017","1"
"4317_473743","20231018","1"
"4317_473743","20231019","1"
"4317_473743","20231020","1"
"4317_473743","20231023","1"
"4317_473743","20231024","1"
"4317_473743","20231025","1"
"4317_473743","20231026","1"
"4317_473743","20231027","1"
"4317_473743","20231030","1"
"4317_473743","20231031","1"
"4317_473743","20231102","1"
"4317_473743","20231103","1"
"4317_473743","20231106","1"
"4317_473743","20231107","1"
"4317_473743","20231108","1"
"4317_473743","20231109","1"
"4317_473743","20231110","1"
"4317_473743","20231113","1"
"4317_473743","20231114","1"
"4317_473743","20231115","1"
"4317_473743","20231116","1"
"4317_473743","20231117","1"
"4317_473743","20231120","1"
"4317_473743","20231121","1"
"4317_473743","20231122","1"
