"alt_id","alt_name","id","name","lat","lon"
"8@4086","ospedale val d'elsa","9@pr086","ospedale val d'elsa","43.4525008609429","11.1501829111745"
"8@4088","str.prov.ang.v.dellabadia","9@ev088","ponte di spugna","43.4236446007573","11.1308605615661"
"8@4089","str.prov.per siena calp","9@ev089","cristalleria artistica","43.4198617686946","11.1374664008968"
"8@4113","str.prov. opposto calp","9@ev113","cristalleria artistica","43.4200440722634","11.1371741313019"
"8@4114","str.prov.op.v.della badia","9@ev114","ponte di spugna","43.4237352037245","11.1308721930852"
"8@4223","belvedere","9@ev223","belvedere hotel","43.414822659968","11.1565321302798"
"8@4236","belvedere","9@ev236","belvedere hotel","43.4148923080417","11.1566059947565"
"8@4312","colle v.elsa distr.api","9@ev312","via gramsci - distributore","43.4263923006341","11.1262069153811"
"8@4313","colle v.elsa  distr.esso","9@pr313","castiglioni basso","43.4317166085889","11.1362674684864"
"8@4314","colle v.elsa 100 mt. sup.","9@ev314","ponte dell'armi","43.433542816751","11.141886198329"
"8@4315","maltraverso (verso pogg:)","9@pr315","maltraverso","43.4379967282485","11.1470406009077"
"8@4316","colle opp.conc.fiat","9@pr316","campostaggia","43.446152398178","11.1495817591454"
"8@4319","campostaggia","9@pr319","campostaggia","43.4483882585975","11.1483464130246"
"8@4322","colle v.elsa  distr.esso","9@pr322","castiglioni basso","43.4317937058834","11.1362903200609"
"8@4323","colle v.elsa  distr.api","9@ev323","via gramsci","43.4261361546656","11.1260384047268"
"8@4335","loc. vallebuona direzione poggibonsi","9@ev335","vallebuona direzione poggibonsi","43.4288145147369","11.1266786766471"
"8@4560","colle v.elsa (v.bilenchi)","9@ev560","colle v.elsa (v.bilenchi)","43.422456087162","11.1277468938159"
"8@5512","v.senese n.civ.90-","9@pr512","via senese - semaforo","43.4640720652611","11.15400606412"
"8@5514","romituzzo esseeffe-","9@pr514","romituzzo","43.4616794196465","11.1582820080933"
"8@5546","calcinaia opp.scuola ronc","9@pr546","calcinaia opp roncalli","43.4563956455205","11.1558550328449"
"8@5549","romituzzo","9@pr549","romituzzo","43.4620376734099","11.1580416570367"
"8@5551","v.senese n.civ.139-","9@pr551","via senese - semaforo","43.4641578154293","11.1540091100931"
"8@5931","cappuccini (pian del casone)","9@ev931","cappuccini","43.4166158270826","11.1471995925215"
"8@5932","cappuccini (pian del casone)","9@ev932","cappuccini","43.4166198669522","11.1474207105777"
"9@mt003","colonna di monteriggioni","8@mtr003","colonna di monteriggioni","43.3935464753155","11.2184871399132"
"2@1521","peretola","6@1521","pratese magrini","43.7987900793627","11.1957288266728"
"2@1522","palagio degli spini","6@1522","pratese palagio degli spini","43.7994569238106","11.1938054826112"
"2@1523","ponte a giogoli","6@1523","pratese ponte a giogoli","43.8035436859721","11.1862022956809"
"2@1524","osmannoro 01","6@1524","lucchese righi","43.8051742821808","11.1812622058204"
"2@1525","casa rossa 01","6@1525","casa rossa 01","43.8063430699211","11.1791085168941"
"2@6013","porta al prato","6@6013","t1 porta al prato - leopolda","43.7778086900976","11.2397241014307"
"2@d0362","costituzione fr. 11","6@b_0362","costituzione 11 fr.","43.9304060688394","10.9137544076522"
"2@d0365","piazza garibaldi","6@b_0365","p. garibaldi","43.930934820031","10.9165853930249"
"2@d0683","via baracca 148","6@b_0683","baracca 148 <fi_218>","43.7941958898584","11.2101455267147"
"2@d0684","via baracca 183","6@b_0684","baracca 183 <fi_224>","43.7936512659037","11.2114343920329"
"2@d0685","via baracca 140 (il barco)","6@b_0685","baracca 140 <fi_216>","43.7929077727755","11.2142596214368"
"2@d0686","via baracca 149","6@b_0686","baracca 149 (salvagente) <fi_226>","43.7923451440695","11.2155181234538"
"2@d0687","firenze via baracca 1","6@b_0687","baracca 50 <fi_214>","43.7893595737188","11.2239057522005"
"2@d0688","firenze via baracca 2","6@b_0688","baracca 70 fr. <fi_228>","43.7892783622696","11.2236837502751"
"2@d0689","firenze piazza puccini 1","6@b_0689","p. puccini (distr. agip) <fi_212>","43.7861523675887","11.2280634843151"
"2@d0690","firenze piazza puccini 2","6@b_0690","ponte alle mosse 223 <fi0290>","43.7854157676869","11.2292323558839"
"2@d0691","via delle porte nuove fr. inail","6@b_0691","porte nuove  fr. inail <fi_271>","43.7818575848952","11.2376139989935"
"2@d0692","via delle porte nuove 123","6@b_0692","ponte alle mosse 123 <fi_292>","43.7823018520553","11.2349262134534"
"2@d0693","via delle porte nuove 10","6@b_0693","porte nuove 10 <fi_270>","43.7796584924749","11.2402549524078"
"2@d0694","porta  a  prato","6@b_0694","porta a prato  <fi_294>","43.7782112677004","11.2394712099345"
"2@d0702","via barsanti fr. 8","6@b_0702","v. barsanti 8 fr. <fi_244>","43.7972264098521","11.2258817938387"
"2@d0705","bonellina fr. 18","6@b_0705","bonellina 18 fr.","43.9255218222584","10.9188483499044"
"2@d0707","bonellina cimitero della vergine","6@b_0707","bonellina   (cimitero la vergine)","43.9228112045881","10.9183482641761"
"2@d0708","bonellina fr. cimitero","6@b_0708","bonellina  (fr. cimitero)","43.9233063300822","10.918244598191"
"2@d3083","carratica 51","6@b_3083","carratica 51","43.9294803208238","10.9184898019601"
"2@d3174","via toselli 60","6@b_3174","toselli 60 <fi_273>","43.7834411210479","11.2351395506163"
"2@d3348","p.za dante partenza","6@b_3348","p. dante (stazione - 3)","43.9271220424393","10.9143108475382"
"2@d3349","p.za dante arrivo","6@b_3349","p.za dante (arrivo) <pt0000>","43.9273075130736","10.9141066017907"
"2@fi_240","via b. dei 2/a","6@fi_240","via b. dei 2/a","43.7944626699711","11.2348435136207"
"2@fi_246","viale guidoni 206","6@fi_246","v.le guidoni 206","43.7983010922301","11.214015113022"
"6@1521","pratese magrini","2@1521","peretola","43.7987900793627","11.1957288266728"
"6@1522","pratese palagio degli spini","2@1522","palagio degli spini","43.7994569238106","11.1938054826112"
"6@1523","pratese ponte a giogoli","2@1523","ponte a giogoli","43.8035436859721","11.1862022956809"
"6@1524","lucchese righi","2@1524","osmannoro 01","43.8051742821808","11.1812622058204"
"6@1525","casa rossa 01","2@1525","casa rossa 01","43.806347104516","11.1791374542297"
"6@6013","t1 porta al prato - leopolda","2@6013","porta al prato","43.7778086900976","11.2397241014307"
"6@b_0362","costituzione 11 fr.","2@d0362","costituzione fr. 11","43.9304197933916","10.9136992023991"
"6@b_0365","p. garibaldi","2@d0365","piazza garibaldi","43.930938477826","10.9165936497863"
"6@b_0683","baracca 148 <fi_218>","6@d0683","via baracca 148","43.7942125703492","11.2101776297789"
"2@d0683","baracca 148 <fi_218>","6@d0683","via baracca 148","43.7942125703492","11.2101776297789"
"6@b_0684","baracca 183 <fi_224>","6@d0684","via baracca 183","43.793621237654","11.211423620368"
"2@d0684","baracca 183 <fi_224>","6@d0684","via baracca 183","43.7936423051976","11.211461250672"
"6@b_0685","baracca 140 <fi_216>","6@d0685","via baracca 140 (il barco)","43.7930569253433","11.2137307744409"
"2@d0685","baracca 140 <fi_216>","6@d0685","via baracca 140","43.7929079133446","11.2143181682002"
"6@b_0686","baracca 149 (salvagente) <fi_226>","6@d0686","via baracca 149","43.7923262564643","11.2155271614865"
"2@d0686","baracca 149 (salvagente) <fi_226>","6@d0686","via baracca 149","43.7923262564643","11.2155271614865"
"6@b_0687","baracca 50 <fi_214>","6@d0687","firenze via baracca 1","43.7893808697111","11.2239318134199"
"2@d0687","baracca 50 <fi_214>","6@d0687","via baracca 50","43.7893808697111","11.2239318134199"
"6@b_0688","baracca 70 fr. <fi_228>","6@d0688","firenze via baracca 2","43.7892767742042","11.2237290966411"
"2@d0688","baracca 70 fr. <fi_228>","6@d0688","via baracca fr. 70","43.7892767742042","11.2237290966411"
"6@b_0689","p. puccini (distr. agip) <fi_212>","6@d0689","firenze piazza puccini 1","43.7861539322485","11.2281042444915"
"2@d0689","p. puccini (distr. agip) <fi_212>","6@d0689","piazza puccini distr. agip","43.7861919368533","11.2279966018064"
"6@b_0690","ponte alle mosse 223 <fi0290>","6@d0690","firenze piazza puccini 2","43.7853971529329","11.229227355538"
"2@d0690","ponte alle mosse 223 <fi0290>","6@d0690","via ponte alle mosse 223","43.7853971529329","11.229227355538"
"6@b_0691","porte nuove  fr. inail <fi_271>","6@d0691","via delle porte nuove fr. inail","43.7818742576759","11.2376461026406"
"2@d0691","porte nuove  fr. inail <fi_271>","6@d0691","via delle porte nuove fr. inail","43.7818742576759","11.2376461026406"
"6@b_0692","ponte alle mosse 123 <fi_292>","6@d0692","via delle porte nuove 123","43.7822878575092","11.2349151703381"
"2@d0692","ponte alle mosse 123 <fi_292>","6@d0692","via delle porte nuove 123","43.7822878575092","11.2349151703381"
"6@b_0693","porte nuove 10 <fi_270>","6@d0693","via delle porte nuove 10","43.7796709412504","11.2402728558976"
"2@d0693","porte nuove 10 <fi_270>","6@d0693","via delle porte nuove 10","43.7796709412504","11.2402728558976"
"6@b_0694","porta a prato  <fi_294>","6@d0694","porta  a  prato","43.7782744960291","11.239400564662"
"2@d0694","porta a prato  <fi_294>","6@d0694","porta  a  prato","43.7782744960291","11.239400564662"
"6@b_0702","v. barsanti 8 fr. <fi_244>","2@d0702","via barsanti fr. 8","43.7972487640932","11.2258396573233"
"6@b_0705","bonellina 18 fr.","2@d0705","bonellina fr. 18","43.9254981957774","10.9188729192173"
"6@b_0707","bonellina   (cimitero la vergine)","2@d0707","bonellina cimitero della vergine","43.9229270735059","10.9183927193012"
"6@b_0708","bonellina  (fr. cimitero)","2@d0708","bonellina fr. cimitero","43.9233575891092","10.9182061775449"
"6@b_3083","carratica 51","2@d3083","carratica 51","43.9294562761686","10.9185392750282"
"6@b_3174","toselli 60 <fi_273>","6@d3174","via toselli 60","43.783453327641","11.2351698724196"
"2@d3174","toselli 60 <fi_273>","6@d3174","via toselli 60","43.783453327641","11.2351698724196"
"6@b_3348","p. dante (stazione - 3)","2@d3348","p.za dante partenza","43.9270906710011","10.9142111381491"
"6@b_3349","p.za dante (arrivo) <pt0000>","2@d3349","p.za dante arrivo","43.9273609487802","10.9140993882123"
"6@d0683","via baracca 148","6@b_0683","baracca 148 <fi_218>","43.7941958898584","11.2101455267147"
"6@d0684","via baracca 183","6@b_0684","baracca 183 <fi_224>","43.7936512659037","11.2114343920329"
"6@d0685","via baracca 140","6@b_0685","baracca 140 <fi_216>","43.7929077727755","11.2142596214368"
"6@d0686","via baracca 149","6@b_0686","baracca 149 (salvagente) <fi_226>","43.7923451440695","11.2155181234538"
"6@d0687","via baracca 50","6@b_0687","baracca 50 <fi_214>","43.7893595737188","11.2239057522005"
"6@d0688","via baracca fr. 70","6@b_0688","baracca 70 fr. <fi_228>","43.7892783622696","11.2236837502751"
"6@d0689","piazza puccini distr. agip","6@b_0689","p. puccini (distr. agip) <fi_212>","43.7861523675887","11.2280634843151"
"6@d0690","via ponte alle mosse 223","6@b_0690","ponte alle mosse 223 <fi0290>","43.7854157676869","11.2292323558839"
"6@d0691","via delle porte nuove fr. inail","6@b_0691","porte nuove  fr. inail <fi_271>","43.7818575848952","11.2376139989935"
"6@d0692","via delle porte nuove 123","6@b_0692","ponte alle mosse 123 <fi_292>","43.7823018520553","11.2349262134534"
"6@d0693","via delle porte nuove 10","6@b_0693","porte nuove 10 <fi_270>","43.7796584924749","11.2402549524078"
"6@d0694","porta  a  prato","6@b_0694","porta a prato  <fi_294>","43.7782112677004","11.2394712099345"
"6@d3174","via toselli 60","6@b_3174","toselli 60 <fi_273>","43.7834411210479","11.2351395506163"
"6@fi_126","piazza mattei","9@fi126","piazza enrico mattei","43.8025760784018","11.2300171116863"
"6@fi_220","v.le gori 18","6@dfi220","viale gori 18","43.7969752048886","11.2055933730294"
"2@dfi220","v.le gori 18","6@dfi220","viale gori 18","43.7969752048886","11.2055933730294"
"6@fi_240","via b. dei 2/a","2@fi_240","via b. dei 2/a","43.7944434164801","11.2348711764816"
"6@fi_246","v.le guidoni 206","2@fi_246","viale guidoni 206","43.7982980102447","11.214007665273"
"6@fi_262","fine  autostrada a11 (fr. aeroporto)","6@dfi262","fine autostrada  a11 fr. aeroporto","43.8007716554972","11.2015792969911"
"2@dfi262","fine  autostrada a11 (fr. aeroporto)","6@dfi262","fine autostrada  a11 fr. aeroporto","43.8006709642328","11.2015101405645"
"8@5777","firenze bottai","9@im777","firenze bottai","43.7268046823992","11.2245962537637"
"8@5792","firenze bottai","9@im792","firenze bottai","43.7267354825573","11.2244787241024"
"8@6029","poggibonsi rotatoria salceto","9@pr029","salceto","43.4677633162213","11.154183059182"
"8@fi_002","porta al prato","9@f0002","stazione leopolda","43.7777265748945","11.2384886192965"
"8@fi_025","de vanni","9@f0025","via de' vanni","43.7742819103407","11.2322266302843"
"9@f0002","stazione leopolda","8@fi_002","porta al prato","43.7776106713345","11.2381638261033"
"9@f0025","via de' vanni","8@fi_025","de vanni","43.7742755556286","11.2322437015894"
"9@fi126","piazza enrico mattei","6@fi_126","piazza mattei","43.8026495667942","11.2300481618528"
